Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
50.000000000000064,0.028213105772247109,-0.028495736789978854
55.972677254154277,0.028247481351280166,-0.032956065832793292
62.65881197995445,0.028330872712719644,-0.038328416007634862
70.143629201654434,0.028353720534289025,-0.044952740598674518
78.522534374785408,0.028326596522771794,-0.053365141105534655
87.902329474761871,0.028519495144459943,-0.064118046275837295
98.402574351583652,0.028179517133475485,-0.077293684324344469
110.15711070318211,0.027925386434336806,-0.093374697421970548
123.31576809278697,0.027915278263516516,-0.11395765197238568
138.04627375611415,0.028262167799510483,-0.13972580377948882
154.53639054179192,0.027938085521422833,-0.17127842711954794
172.99631023635331,0.02801727614990725,-0.21051505750892982
193.66133278037876,0.028331143475090904,-0.2590636924153632
216.79486552650994,0.02791270223417467,-0.31910033494403311
242.69178076946207,0.027753539682506809,-0.3933367659040512
271.682174344901,0.028159883950060048,-0.48465857822992142
304.13557320628058,0.02791680103742205,-0.59593961106584292
340.46564561164672,0.027716938550284079,-0.73130402626002722
381.13547395895972,0.02753637146372535,-0.89504059365965816
426.66345748027896,0.027098463947014501,-1.0913609800271491
477.62992003370408,0.027579312968690654,-1.3259307981216406
534.68450721948057,0.026606301386546446,-1.6024437914051473
598.5544671078494,0.026623253025365234,-1.924933188722219
670.05392012919845,0.02593129101822008,-2.2982755901775302
750.09423628545051,0.02607626368438111,-2.7248464786876303
839.695651956137,0.025364182893182256,-3.2057971449587175
940.0002743731493,0.025066550585302522,-3.7407842126771467
1052.2866395260939,0.024796344486634911,-4.3296391249168824
1177.9860090610525,0.024653946849119233,-4.9689694410798193
1318.7006139016707,0.024701391871672657,-5.6559330791974407
1476.2240771354648,0.022939564032737756,-6.3871923690679724
1652.5642764863021,0.022556257192329447,-7.1564304770419067
1849.9689377902548,0.021407904077019122,-7.9602449864622846
2070.9542857028869,0.021190885862433593,-8.793444228278096
2318.3371168351077,0.020923893341197208,-9.6532210931881792
2595.2707041387603,0.020301918239920381,-10.531608038478954
2905.2849901984073,0.018266140860262438,-11.431094397528295
3252.3315817542807,0.017199050730744569,-12.344754073552703
3640.8341189805078,0.016196535652548374,-13.267518588165917
4075.7446615521776,0.014006261544366336,-14.203779530429383
4562.6068102280451,0.013156404540189268,-15.145214831810369
5107.6263685300128,0.010474954231942364,-16.094162636153136
5717.7504452107687,0.0059352314442185283,-17.050157648845669
6400.756005791578,0.0093868408028725554,-18.001762077558705
7165.3490018952243,0.00038229248162707021,-18.97002798289919
8021.2753419291639,0.00089270729568333173,-19.929782479370044
8979.445117610132,0.0073895420348341406,-20.901643338116152
10052.071669787654,-0.0044264852313482947,-21.87165308615004
11252.827266173039,0.0015324507024879147,-22.841905178709165
12597.017375325026,-0.0064982938603933994,-23.80421048500547
14101.77575828081,0.0089078782459048895,-24.776287722228702
15786.282864574148,0.0093715322192102837,-25.738605127119744
17672.010316431897,0.0062341634398394088,-26.707442708165633
19782.994597474524,0.012817853910384801,-27.68321047611655
22146.143434502359,0.012605543455985383,-28.661032469263908
24791.578777672188,0.014640170362820608,-29.64360397607582
27753.020750871685,0.016355561860391887,-30.626467228773858
31068.217466327736,0.02010509491755446,-31.570427645486259
34779.426182092786,0.022191312309701689,-32.539610572044005
38933.951935499208,0.02725467887316374,-33.533012632790815
43584.75051828906,0.033010370190352779,-34.505250248302332
48791.103479260484,0.034696122397008616,-35.449100355651254
54619.37375837384,0.038998870485427994,-36.511025606701352
61143.851584029573,0.043206003371133214,-37.420347684189942
68447.70141577597,0.052675467696921677,-38.394247172195634
76624.022002678845,0.055813184116442933,-39.339179470282943
85777.033069423094,0.061517475205272912,-40.376172705267557
96023.403756274769,0.060515437933504557,-41.391560750924498
107493.73974590613,0.066982374689863705,-42.371664648109331
120334.24803279324,0.07473315436162159,-43.420014448289336
134708.60055521756,0.075925293263873955,-44.450312667991135
150800.02044471941,0.077998949912463519,-45.322286191397779
168813.61748544298,0.07355017730807778,-46.290964103904514
188979.00255237886,0.072005783741741741,-47.320704878808897
211553.21435352607,0.064846102429758024,-47.866996966674677
236823.99578177641,0.056331642286745628,-49.448512218625766
265113.46163865097,0.052401219683899034,-50.345742613810103
296782.20448063657,0.040602199251446619,-51.595659800648683
332233.89092342142,0.026284514491760412,-52.609279695060131
371920.4069909713,-0.0011043373600281023,-53.552850976619155
416347.6180947863,-0.0044232135842667206,-53.703984360651951
466081.81706310727,-0.01789778590789708,-55.440174005046543
521756.94241006096,-0.033663100175802881,-55.871149357998782
584082.65885265335,-0.046698848613790436,-57.016066834334175
653853.40307415754,-0.069843625141434468,-58.584416302143879
731958.51003600447,-0.074654235970998628,-59.280561638397373
819393.54891353857,-0.087294833552099688,-60.114039171625954
917273.01314947056,-0.10210508685060837,-61.445629191417233
1026844.5263792173,-0.11686642631636991,-62.586433678045935
1149504.7453043771,-0.13538074928272417,-64.314439683902833
1286817.1622208129,-0.1631899686872329,-65.836942669684845
1440532.0341218449,-0.18030300720774251,-66.296421811217186
1612608.692403446,-0.21020772542241389,-67.718153072713648
1805240.5175428372,-0.24592701946280937,-69.895876872748943
2020882.8970909512,-0.30307000039975118,-71.403796619154022
2262284.5233462388,-0.34914406988113766,-75.392525565572981
2532522.429646546,-0.42768796643383478,-76.024362075010359
2835041.2118702522,-0.50063386183320091,-86.377206569136661
3173696.9350848012,-0.60301270345428726,-88.749859093144948
3552806.2850000001,-0.72912325021742286,-79.959551098628069
